Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,Date_last_updated,lat,lon
重庆潼南区,China,11/02/2020 14:22,14,0,0,2020-02-11 14:22:13,30.149935600000003,105.79432369999999
重庆大足区,China,11/02/2020 14:22,14,1,0,2020-02-11 14:22:13,29.634816600000004,105.7461507
重庆巫溪县,China,11/02/2020 14:22,12,2,0,2020-02-11 14:22:13,31.505926000000002,109.344843
重庆巫山县,China,11/02/2020 14:22,10,4,0,2020-02-11 14:22:13,31.116155900000003,109.89752279999999
重庆丰都县,China,11/02/2020 14:22,10,1,0,2020-02-11 14:22:13,29.8664538,107.72577290000001
重庆南岸区,China,11/02/2020 14:22,9,0,0,2020-02-11 14:22:13,29.5399396,106.68353020000002
重庆铜梁区,China,11/02/2020 14:22,8,0,0,2020-02-11 14:22:13,29.814165999999997,106.02909
重庆荣昌区,China,11/02/2020 14:22,8,0,0,2020-02-11 14:22:13,29.4642288,105.5017092
重庆璧山区,China,11/02/2020 14:22,8,1,0,2020-02-11 14:22:13,29.5730296,106.16866270000001
重庆大渡口区,China,11/02/2020 14:22,7,1,0,2020-02-11 14:22:13,29.4227309,106.45705600000001
重庆永川区,China,11/02/2020 14:22,5,1,0,2020-02-11 14:22:13,29.29285,105.870081
重庆巴南区,China,11/02/2020 14:22,5,1,0,2020-02-11 14:22:13,29.3924529,106.7622446
重庆高新区,China,11/02/2020 14:22,4,0,0,2020-02-11 14:22:13,46.5117529,125.2370909
重庆江津区,China,11/02/2020 14:22,4,1,0,2020-02-11 14:22:13,29.031257899999996,106.2732111
重庆梁平区,China,11/02/2020 14:22,4,1,0,2020-02-11 14:22:13,30.660936199999995,107.7171841
重庆涪陵区,China,11/02/2020 14:22,3,0,0,2020-02-11 14:22:13,29.660589,107.332003
重庆黔江区,China,11/02/2020 14:22,2,2,0,2020-02-11 14:22:13,29.536147999999997,108.7673528
重庆彭水县,China,11/02/2020 14:22,2,0,0,2020-02-11 14:22:13,29.296287699999997,108.1610845
重庆沙坪坝区,China,11/02/2020 14:22,2,0,0,2020-02-11 14:22:13,29.632990500000002,106.396698
重庆城口县,China,11/02/2020 14:22,2,1,0,2020-02-11 14:22:13,31.874998699999995,108.69999820000001
重庆酉阳县,China,11/02/2020 14:22,1,0,0,2020-02-11 14:22:13,28.866301500000002,108.76480049999999
重庆万盛经开区,China,11/02/2020 14:22,1,0,0,2020-02-11 14:22:13,30.08333,107.83333
重庆武隆区,China,11/02/2020 14:22,1,0,0,2020-02-11 14:22:13,29.3547157,107.6324413
重庆秀山县,China,11/02/2020 14:22,1,1,0,2020-02-11 14:22:13,28.5228929,109.00051119999999
山东青岛,China,11/02/2020 14:22,53,11,1,2020-02-11 14:22:13,36.06605,120.36939
山东济南,China,11/02/2020 14:22,46,7,0,2020-02-11 14:22:13,36.66833,116.99722
山东临沂,China,11/02/2020 14:22,44,9,0,2020-02-11 14:22:13,35.06306,118.34278
山东烟台,China,11/02/2020 14:22,41,3,0,2020-02-11 14:22:13,37.461928,121.44252549999999
山东济宁,China,11/02/2020 14:22,41,8,0,2020-02-11 14:22:13,35.405,116.58138999999998
山东潍坊,China,11/02/2020 14:22,38,1,0,2020-02-11 14:22:13,36.7071591,119.15574409999999
山东聊城,China,11/02/2020 14:22,37,2,0,2020-02-11 14:22:13,36.45596,115.97766000000001
山东威海,China,11/02/2020 14:22,37,8,0,2020-02-11 14:22:13,37.50914,122.11356
山东泰安,China,11/02/2020 14:22,32,1,0,2020-02-11 14:22:13,35.35156729999999,108.965328
山东德州,China,11/02/2020 14:22,32,6,0,2020-02-11 14:22:13,37.4486676,116.305416
山东枣庄,China,11/02/2020 14:22,23,1,0,2020-02-11 14:22:13,34.8113006,117.31782779999999
山东淄博,China,11/02/2020 14:22,19,1,0,2020-02-11 14:22:13,33.6195977,106.9129013
山东菏泽,China,11/02/2020 14:22,17,6,0,2020-02-11 14:22:13,35.239290000000004,115.47358
山东日照,China,11/02/2020 14:22,15,2,0,2020-02-11 14:22:13,35.4150703,119.52145120000002
山东滨州,China,11/02/2020 14:22,11,5,0,2020-02-11 14:22:13,35.0362878,108.07976040000001
四川成都,China,11/02/2020 14:22,124,41,1,2020-02-11 14:22:13,30.662420500000003,104.0633219
四川南充,China,11/02/2020 14:22,34,4,0,2020-02-11 14:22:13,30.839161600000004,106.1078202
四川达州,China,11/02/2020 14:22,30,5,0,2020-02-11 14:22:13,31.216036,107.5027564
四川广安,China,11/02/2020 14:22,30,3,0,2020-02-11 14:22:13,30.4591677,106.63319579999998
四川甘孜,China,11/02/2020 14:22,27,2,0,2020-02-11 14:22:13,28.2087538,103.4632546
四川巴中,China,11/02/2020 14:22,22,1,0,2020-02-11 14:22:13,31.859018300000002,106.754751
四川绵阳,China,11/02/2020 14:22,21,4,0,2020-02-11 14:22:13,31.458932,104.750108
四川泸州,China,11/02/2020 14:22,18,2,0,2020-02-11 14:22:13,28.874514500000004,105.4394183
四川内江,China,11/02/2020 14:22,18,2,0,2020-02-11 14:22:13,29.591077600000002,105.0629494
四川德阳,China,11/02/2020 14:22,16,0,0,2020-02-11 14:22:13,31.1244028,104.39013
四川攀枝花,China,11/02/2020 14:22,13,5,0,2020-02-11 14:22:13,26.5860102,101.7179276
四川凉山,China,11/02/2020 14:22,10,1,0,2020-02-11 14:22:13,32.3837,105.209
四川遂宁,China,11/02/2020 14:22,10,2,0,2020-02-11 14:22:13,30.5061493,105.574542
四川宜宾,China,11/02/2020 14:22,9,3,0,2020-02-11 14:22:13,28.765792699999995,104.6353116
四川自贡,China,11/02/2020 14:22,9,2,0,2020-02-11 14:22:13,29.342000800000005,104.7761594
四川眉山,China,11/02/2020 14:22,7,1,0,2020-02-11 14:22:13,30.0765357,103.84320229999999
四川雅安,China,11/02/2020 14:22,6,2,0,2020-02-11 14:22:13,29.985931,103.0087944
